,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Bayes Classification
162,DOUBLES CLUB,wealthier,10022,American,4/30/19,10F,N,1,4/30/19,40.76453215,-73.97280973,108,4,11401,1040751,1013740001,MN40,1
163,HATSUHANA RESTAURANT,wealthier,10017,Japanese,7/29/19,06C,Y,1,7/29/19,40.75689169,-73.97717320000001,105,4,9400,1035435,1012840012,MN17,1
164,VALENTINO'S PIZZA,less wealthy,11367,Pizza/Italian,7/18/19,02G,Y,1,7/18/19,40.72852873,-73.81507497,408,24,122702,4146994,4067930035,QN38,1
165,VIAND COFFEE SHOP,wealthier,10065,Greek,5/9/19,04N,Y,1,5/9/19,40.76478949,-73.97013102,108,4,11401,1040850,1013760021,MN40,1
166,PALM TOO,wealthier,10017,American,9/30/19,06D,Y,0,9/30/19,40.75155446,-73.97092740000001,106,4,9000,1038763,1013370050,MN19,0
167,BLUE BAY RESTAURANT,less wealthy,10463,American,10/9/19,04N,Y,1,10/9/19,40.88602891,-73.90987095,208,11,29700,2084160,2057940501,BX29,1
168,THE HYTES BAR,less wealthy,11213,American,11/8/19,04L,Y,1,11/8/19,40.6712044,-73.94264971,308,35,33900,3032442,3012570035,BK61,1
169,PERGOLA DES ARTISTES,wealthier,10036,French,5/23/19,10F,N,1,5/23/19,40.75925368,-73.98669472,105,3,11900,1024729,1010170057,MN17,1
170,JODY'S CLUB,wealthier,10301,American,8/5/19,06D,Y,1,8/5/19,40.63100906,-74.10189565,501,49,5900,5169029,5002520009,SI35,1
171,REIF'S TAVERN,wealthier,10128,American,2/13/19,06D,Y,1,2/13/19,40.78151114,-73.9485773,108,5,15400,1050238,1015540148,MN32,1
172,JOHN'S PIZZERIA,less wealthy,11373,Pizza,10/24/19,06F,Y,1,10/24/19,40.73492185,-73.88201393,404,25,47900,4065250,4028750008,QN50,1
173,SEASHORE RESTAURANT,less wealthy,10464,Seafood,6/18/19,04H,Y,1,6/18/19,40.85411693,-73.79057359,210,13,51600,2100408,2056350164,BX10,1
174,CAFFE REGGIO,wealthier,10012,Italian,2/26/19,10F,N,1,2/26/19,40.73020663,-74.00031751,102,1,6500,1008746,1005430021,MN23,1
175,CAFE UN DEUX TROIS,wealthier,10036,French,6/27/19,02G,Y,1,6/27/19,40.75648387,-73.98397729999999,105,4,11900,1022629,1009970019,MN17,1
176,ARMANDO'S PIZZA,less wealthy,11239,Pizza,6/11/19,10F,N,1,6/11/19,40.64798374,-73.88192681,305,42,105804,3345673,3044520015,BK93,1
177,KNICKERBOCKER BAR & GRILL,wealthier,10003,American,2/15/19,06C,Y,1,2/15/19,40.73196864,-73.99445059,102,2,5900,1009090,1005607501,MN23,1
178,EL POTE ESPANOL,wealthier,10016,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/3/19,02G,Y,1,9/3/19,40.74767405,-73.97376221,106,4,7800,1021932,1009440055,MN20,1
179,THE RIVER CAFE,less wealthy,11201,American,6/10/19,10F,N,1,6/10/19,40.70295918,-73.99433761,302,33,2100,3335852,3000250001,BK38,1
180,MUDVILLE SALOON,wealthier,10007,American,3/28/19,06C,Y,1,3/28/19,40.71529947,-74.00879097,101,1,2100,1001482,1001360019,MN24,1
181,JOHNNY'S REEF RESTAURANT,less wealthy,10464,Seafood,8/7/19,08A,N,1,8/7/19,40.83766442,-73.78289894,210,13,51600,2082394,2056370001,BX10,1
182,WHITE CASTLE,less wealthy,11213,Hamburgers,4/12/19,06E,Y,1,4/12/19,40.6634914,-73.93226465,309,41,88000,3251162,3014300034,BK60,1
183,WHITE CASTLE,less wealthy,10467,Hamburgers,5/30/19,04H,Y,1,5/30/19,40.86562407,-73.86225393,211,13,34000,2053784,2045140001,BX07,1
184,WHITE CASTLE,less wealthy,11104,Hamburgers,5/9/19,10F,N,1,5/9/19,40.74345059,-73.92132771,402,26,18300,4001992,4001680026,QN31,1
185,FERDINANDO'S RESTAURANT,less wealthy,11231,Italian,4/20/19,02B,Y,1,4/20/19,40.68412467,-74.0020624,306,39,5100,3004269,3003360037,BK33,1
186,MCDONALD'S,less wealthy,11375,Hamburgers,10/1/19,06D,Y,1,10/1/19,40.71980082,-73.84502745,406,29,71100,4077473,4032340185,QN17,1
187,NECTAR COFFEE SHOP,wealthier,10075,American,12/13/19,06D,Y,1,12/13/19,40.77599679,-73.96236681,108,4,14200,1041884,1013930056,MN40,1
188,THE CUPPING ROOM CAFE,wealthier,10013,American,12/20/19,10F,N,0,12/20/19,40.72302903,-74.00320004,102,1,4700,1007065,1004750014,MN24,0
189,MCDONALD'S,less wealthy,11203,Hamburgers,4/22/19,10F,N,1,4/22/19,40.656181200000006,-73.93084489,317,41,86800,3100849,3046370035,BK96,1
190,PETE'S TAVERN,wealthier,10003,American,5/28/19,10F,N,1,5/28/19,40.73635139,-73.98668488,106,2,5000,1080800,1008740023,MN21,1
191,JIM BRADY'S RESTAURANT,wealthier,10038,Irish,12/18/19,04H,Y,1,12/18/19,40.70764987,-74.00775839,101,1,1502,1001112,1000680011,MN25,1
192,VILLA MOSCONI RESTAURANT,wealthier,10012,Italian,9/25/19,04N,Y,1,9/25/19,40.7285378,-74.00173184,102,3,6500,1008307,1005260034,MN23,1
193,THE NEW AMITY RESTAURANT,wealthier,10028,American,10/10/19,08A,N,1,10/10/19,40.77974519,-73.95963131,108,4,15001,1046819,1014960017,MN40,1
194,SPARKS STEAK HOUSE,wealthier,10017,Steak,8/8/19,10F,N,1,8/8/19,40.75309731,-73.97209616,106,4,9000,1037596,1013190047,MN19,1
195,THE DART SPORTS BAR,less wealthy,11432,American,5/6/19,10B,N,1,5/6/19,40.71527033,-73.80769891,408,24,23000,4145714,4067170104,QN35,1
196,BAMONTE'S RESTAURANT,less wealthy,11211,Italian,2/7/19,06F,Y,1,2/7/19,40.71671133,-73.95148452,301,33,51500,3068243,3027410013,BK73,1
197,BURGER KING,less wealthy,11361,Hamburgers,10/31/19,02B,Y,1,10/31/19,40.76185912,-73.75919934,411,19,147100,4160989,4074740016,QN46,1
198,EAR INN,wealthier,10013,American,6/17/19,06C,Y,1,6/17/19,40.72599304,-74.00930109,102,3,3700,1010344,1005950071,MN24,1
199,BURGER KING,less wealthy,11377,Hamburgers,3/21/19,10B,N,1,3/21/19,40.75425192,-73.89781765,403,25,30902,4026245,4011640045,QN28,1
200,MCDONALD'S,wealthier,10312,Hamburgers,7/15/19,08C,N,1,7/15/19,40.55951214,-74.16955254,503,51,14607,5073737,5055330047,SI54,1
201,ROSSINI'S,wealthier,10016,Italian,9/4/19,10F,N,1,9/4/19,40.74934943,-73.97894066,106,4,8000,1019118,1008930082,MN20,1
202,THREE GUY'S RESTAURANT,wealthier,10021,American,3/12/19,09C,N,1,3/12/19,40.77397438,-73.96384104,108,4,13000,1041694,1013900017,MN40,1
203,TJK CAFE & RESTAURANT,less wealthy,11362,American,3/23/19,10F,N,1,3/23/19,40.76055651,-73.73128614,411,23,152902,4172803,4083360001,QN45,1
204,SMITH & WOLLENSKY,wealthier,10017,American,12/30/19,04H,Y,1,12/30/19,40.75505127,-73.97087534,106,4,9800,1038223,1013230001,MN19,1
205,MCDONALD'S,less wealthy,11357,Hamburgers,7/3/19,08A,N,1,7/3/19,40.78061912,-73.80203901,407,19,101700,4107760,4047580100,QN47,1
206,OLIVE TREE CAFE & COMEDY CELLAR,wealthier,10012,American,6/19/19,06D,Y,1,6/19/19,40.73012978,-74.00038607,102,1,6500,1008747,1005430022,MN23,1
207,BURGER KING,less wealthy,11004,Hamburgers,2/4/19,02G,Y,1,2/4/19,40.73697353,-73.70992195,413,23,157903,4179815,4087880001,QN44,1
208,BURGER KING,less wealthy,11236,Hamburgers,12/26/19,10F,N,1,12/26/19,40.65287204,-73.91980597,317,42,88800,3103358,3047110036,BK96,1
209,MANDUCATIS,less wealthy,11101,Italian,9/13/19,10F,N,1,9/13/19,40.74446803,-73.94890554,402,26,700,4436618,4000570001,QN31,1
210,MAMMA LUCIA,less wealthy,11230,Italian,1/16/19,08A,N,1,1/16/19,40.63497559,-73.96117841,314,40,51800,3120553,3052170037,BK42,1
211,WEST BANK CAFE,wealthier,10036,American,6/6/19,10F,N,1,6/6/19,40.75860922,-73.99305143,104,3,12100,1083745,1010520001,MN15,1
212,LIBERMAN'S LUNCHEONETTE,less wealthy,11204,Jewish/Kosher,11/15/19,06E,Y,1,11/15/19,40.63150355,-73.98500899,312,44,47400,3128989,3054480010,BK88,1
213,ZAFI'S LUNCHEONETTE,wealthier,10002,American,4/26/19,06F,Y,1,4/26/19,40.71473855,-73.98260579,103,1,1200,1004065,1003310065,MN28,1
214,LA PALINA RESTAURANT,less wealthy,11204,Italian,5/7/19,04H,Y,1,5/7/19,40.61077672,-73.97886929,311,44,43400,3173432,3065800034,BK29,1
215,TY'S,wealthier,10014,"Bottled beverages, including water, sodas, juices, etc.",11/15/19,08A,N,1,11/15/19,40.73319281,-74.00547734,102,3,7300,1010036,1005880048,MN23,1
216,MARINER INN,less wealthy,11234,American,5/25/19,04A,Y,1,5/25/19,40.60933941,-73.93197766,318,46,65800,3240112,3085020010,BK45,1
217,NORTH SHORE DINER,less wealthy,11358,American,2/15/19,10B,N,1,2/15/19,40.75784728,-73.78456423,411,19,145101,4124565,4055200025,QN48,1
218,GREEN HOUSE CAFE,less wealthy,11209,American,8/20/19,06D,Y,1,8/20/19,40.62982119,-74.02845014,310,43,6400,3149778,3059600005,BK31,1
219,MCDONALD'S,less wealthy,10465,Hamburgers,11/12/19,10B,N,1,11/12/19,40.82757806,-73.82327208,210,13,15200,2079915,2055430086,BX52,1
220,LA RIPAILLE RESTAURANT,wealthier,10014,French,11/19/19,10F,N,1,11/19/19,40.73735386,-74.00574111,102,3,7900,1011371,1006240017,MN23,1
221,DON FILIPPO RESTAURANT,wealthier,10075,Italian,6/27/19,10F,N,1,6/27/19,40.77464251,-73.95910728,108,4,14000,1043268,1014130153,MN40,1
222,BURGER KING,less wealthy,11374,Hamburgers,2/8/19,10F,N,1,2/8/19,40.73177314,-73.86656565,406,29,71702,4050127,4020750050,QN18,1
223,OMONIA CAFE,less wealthy,11106,Greek,1/8/20,06C,Y,0,1/8/20,40.76147748,-73.92436023,401,22,5900,4008332,4006120040,QN70,0
224,MURALS ON 54/RANDOLPH'S,wealthier,10019,American,2/8/19,06D,Y,1,2/8/19,40.76186522,-73.97733032,105,4,10400,1034786,1012700001,MN17,1
225,VETERANS OF FOREIGN WARS POST #107 CANTEEN,less wealthy,11229,American,9/19/19,06D,Y,1,9/19/19,40.59810167,-73.93101329999999,315,46,62800,3248376,3088270025,BK17,1
226,TROPICAL HOUSE BAKING CO.,less wealthy,11213,Bakery,9/11/19,10F,N,1,9/11/19,40.66943476,-73.93383029,308,35,35100,3037312,3013900005,BK61,1
227,BURGER KING,less wealthy,11434,Hamburgers,4/16/19,10F,N,1,4/16/19,40.66793532,-73.78098428,412,31,29400,4266764,4123100001,QN02,1
228,YANKEE JZ PIZZA,less wealthy,10472,Pizza,11/4/19,06C,Y,1,11/4/19,40.82917833,-73.87570682,209,18,5400,2025317,2037760001,BX08,1
229,CLINTON RESTAURANT,less wealthy,11357,Italian,10/30/18,06D,Y,1,10/30/18,40.79346399,-73.81314953,407,19,98700,4102818,4045260080,QN49,1
230,RACQUET & TENNIS CLUB,wealthier,10022,American,5/3/19,02G,Y,1,5/3/19,40.75879835,-73.97281208,105,4,10200,1035713,1012880033,MN17,1
231,ASTRO RESTAURANT,wealthier,10019,American,1/3/19,02G,Y,1,1/3/19,40.76313625,-73.97839841,105,4,13700,1023394,1010080029,MN17,1
232,GOLDEN DOVE DINER,wealthier,10312,American,2/27/19,06C,Y,1,2/27/19,40.55901275,-74.1694397,503,51,14607,5073736,5055330038,SI54,1
233,KORNER PIZZERIA,less wealthy,11218,Pizza/Italian,9/27/19,10B,N,1,9/27/19,40.64337635,-73.97802655,312,39,48800,3124589,3053350078,BK41,1
234,VILLA BERULIA,wealthier,10016,Italian,2/14/19,09C,N,1,2/14/19,40.74686575,-73.98082174,106,2,7200,1078763,1008900001,MN20,1
235,VICTOR'S CAFE,wealthier,10019,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/29/19,02G,Y,1,8/29/19,40.76296148,-73.983853,105,3,13100,1080858,1010230051,MN17,1
236,PETES PIZZERIA & RESTAURANT,less wealthy,11209,Pizza/Italian,11/21/19,02B,Y,1,11/21/19,40.63124038,-74.02788872,310,43,6600,3148686,3059390047,BK31,1
237,KEENS STEAKHOUSE,wealthier,10018,Steak,9/10/19,09C,N,1,9/10/19,40.75075309,-73.98610812,105,4,8400,1083645,1008370084,MN17,1
238,BuBo,wealthier,10016,American,5/9/19,10B,N,1,5/9/19,40.74604728,-73.97786985,106,2,7800,1020177,1009150065,MN20,1
239,READY PENNY INN,less wealthy,11372,Irish,3/6/19,04L,Y,1,3/6/19,40.74852436,-73.89264019,403,25,28900,4029796,4012847501,QN28,1
240,IL MULINO,wealthier,10012,Italian,9/3/19,06C,Y,1,9/3/19,40.72984432,-73.99896087,102,1,6500,1008673,1005390017,MN23,1
241,FELIDIA RESTAURANT,wealthier,10022,Italian,8/15/19,10B,N,0,8/15/19,40.76047906,-73.96597453,106,4,10800,1038643,1013320120,MN19,0
242,MCDONALD'S,less wealthy,11203,Hamburgers,5/28/19,10F,N,1,5/28/19,40.64491615,-73.92158848,317,45,94600,3221965,3079160035,BK96,1
243,THE MALT HOUSE,wealthier,10012,American,11/14/18,08A,N,1,11/14/18,40.72878759,-73.99935056,102,1,6500,1077847,1005370037,MN23,1
244,SHUN LEE,wealthier,10023,Chinese,11/21/19,04L,Y,0,11/21/19,40.7722739,-73.98036309999999,107,6,14900,1028160,1011180005,MN14,0
245,PONGSRI THAI RESTAURANT,wealthier,10036,Thai,9/30/19,10B,N,1,9/30/19,40.76051342,-73.9858173,105,3,12500,1024765,1010190059,MN17,1
246,TONY'S PIER RESTAURANT,less wealthy,10464,Seafood,6/18/19,10F,N,1,6/18/19,40.83765897,-73.78292064,210,13,51600,2097766,2056240130,BX10,1
247,ELIO'S,wealthier,10028,Italian,11/8/19,06A,Y,1,11/8/19,40.77670406,-73.95260688,108,5,14601,1048737,1015300022,MN32,1
248,KASTELI II,wealthier,10001,Irish,6/25/19,04L,Y,1,6/25/19,40.74880508,-73.99591088,105,3,9500,1014275,1007780074,MN17,1
249,MOLLY WEE PUB,wealthier,10001,Irish,1/10/20,06D,Y,1,1/10/20,40.74975474,-73.99522147,105,3,10100,1014332,1007800001,MN17,1
250,EL CARIBE,less wealthy,11234,Italian,5/8/19,10B,N,1,5/8/19,40.60865231,-73.91428056,318,46,69800,3238580,3084701028,BK45,1
251,OMEN JAPANESE CUISINE,wealthier,10012,Japanese,10/24/19,02B,Y,1,10/24/19,40.72582323,-74.00185083,102,3,4900,1007787,1005030023,MN24,1
252,MCDONALD'S,less wealthy,11367,Hamburgers,1/8/19,06C,Y,1,1/8/19,40.72752121,-73.81325937,408,24,122702,4315234,4068050045,QN38,1
253,ROSIE O'GRADY RESTAURANT,wealthier,10019,Irish,7/31/19,10F,N,1,7/31/19,40.76243426,-73.98229367,105,4,13100,1024827,1010240029,MN17,1
254,EUROPA BAR,less wealthy,11435,American,3/13/19,10F,N,1,3/13/19,40.698904600000006,-73.80688436,412,27,20800,4213954,4099930018,QN61,1
255,CASA BELLA,wealthier,10013,Italian,1/2/20,06D,Y,1,1/2/20,40.71799515,-73.99803755,102,1,4100,1002652,1002060016,MN24,1
256,CHEZ NAPOLEON,wealthier,10019,French,11/20/19,10F,N,1,11/20/19,40.76320356,-73.98827145,104,3,13300,1025173,1010410005,MN15,1
257,TURKEY'S NEST TAVERN,less wealthy,11249,American,9/25/19,10F,N,1,9/25/19,40.72051696,-73.95485122,301,33,51700,3061540,3022900017,BK73,1
258,LA VILLA DE PIZZA & RESTAURANT,less wealthy,11414,Pizza,9/12/19,08A,N,1,9/12/19,40.66608921,-73.85195825,410,32,6202,4246916,4114290034,QN57,1
259,OZONE PIZZERIA,less wealthy,11417,Pizza/Italian,4/9/19,02H,Y,1,4/9/19,40.68068177,-73.84263818,410,32,4002,4189621,4091190035,QN56,1
260,AGRA RESTAURANT,wealthier,10065,Indian,7/22/19,04M,Y,1,7/22/19,40.76428624,-73.96666569,108,4,11402,1042039,1013970020,MN40,1
261,ARTURO'S,wealthier,10028,Italian,8/7/19,09C,N,1,8/7/19,40.77545297,-73.94747716,108,5,14401,1050540,1015650022,MN32,1
262,PARIS BLUES,wealthier,10027,American,6/13/19,08A,N,1,6/13/19,40.80649728,-73.9501148,110,9,22000,1057675,1019060001,MN11,1
263,GENE'S RESTURANT,wealthier,10011,Italian,6/4/19,02B,Y,1,6/4/19,40.73493583,-73.99718548,102,3,6300,1009601,1005750086,MN23,1
264,COZY SOUP & BURGER,wealthier,10003,American,1/8/20,10F,N,1,1/8/20,40.72994292,-73.99296062,102,1,5700,1008840,1005480070,MN23,1
265,VILLA FIORITA,less wealthy,11214,Italian,2/27/19,02B,Y,1,2/27/19,40.61204673,-73.99734556,311,43,27600,3161451,3062480050,BK28,1
266,MOMS LUNCHEONETTE,less wealthy,11417,American,3/13/19,04L,Y,1,3/13/19,40.68353886,-73.8404897,410,32,11200,4201304,4095050001,QN54,1
267,FONTANA FAMOUS PIZZA & GYRO,less wealthy,11361,Greek,11/12/19,06D,Y,1,11/12/19,40.75771554,-73.78310999,411,19,146300,4124610,4055220001,QN46,1
268,LUSARDI'S RESTAURANT,wealthier,10075,Italian,9/19/19,06C,Y,1,9/19/19,40.7725058,-73.95564623,108,5,13400,1045226,1014520050,MN31,1
269,PORTOVINO,less wealthy,11375,Italian,11/7/19,04A,Y,1,11/7/19,40.71874857,-73.84029328,406,29,76901,4078798,4032920015,QN17,1
270,KING'S ARMS RESTAURANT,wealthier,10310,American,4/3/19,08A,N,1,4/3/19,40.63043625,-74.10698897,501,49,12100,5007359,5002750045,SI35,1
271,BLUE NOTE JAZZ,wealthier,10012,American,11/13/18,10B,N,1,11/13/18,40.73076382,-74.00079379,102,1,6500,1008768,1005430066,MN23,1
272,THE WATER CLUB,wealthier,10016,Seafood,5/1/19,08A,N,1,5/1/19,40.74089419,-73.97248741,106,4,6200,1088948,1009620098,MN20,1
273,MARCO POLO RISTORANTE,less wealthy,11231,Italian,3/5/19,09C,N,1,3/5/19,40.68228287,-73.99592218,306,39,7500,3007223,3004350009,BK33,1
274,MANHATTAN MONSTER,wealthier,10014,American,12/17/19,04N,Y,1,12/17/19,40.733407,-74.00242837,102,3,7100,1010232,1005920040,MN23,1
275,TRIPOLI RESTAURANT/SWALLOW CAFE,less wealthy,11201,Mediterranean,8/28/19,10F,N,1,8/28/19,40.69030305,-73.99464519,306,39,4500,3002955,3002850027,BK33,1
276,PJ BERNSTEIN DELI & RESTAURANT,wealthier,10021,Delicatessen,12/24/19,02G,Y,1,12/24/19,40.76861307,-73.96140347,108,4,12600,1043920,1014250001,MN31,1
277,PJ CARNEY'S,wealthier,10019,Irish,1/16/20,06D,Y,1,1/16/20,40.76573855,-73.9798849,105,4,13700,1024903,1010290027,MN17,1
278,TOMOE SUSHI,wealthier,10012,Japanese,9/3/19,02G,Y,0,9/3/19,40.72771164,-74.00025617,102,1,6500,1084919,1005250035,MN23,0
279,JP'S WATERSIDE RESTAURANT,less wealthy,10464,Seafood,1/9/19,06D,Y,1,1/9/19,40.85725113,-73.79041547,210,13,51600,2000000,2056360177,BX10,1
280,JOHN & JOE PIZZERIA & RESTAURANT,less wealthy,10462,Pizza/Italian,4/11/19,10B,N,1,4/11/19,40.85446555,-73.865892,211,13,22403,2049410,2043190050,BX49,1
281,SUNSET PIZZERIA,wealthier,10309,Pizza/Italian,11/14/19,10F,N,1,11/14/19,40.54235092,-74.20823691,503,51,20801,5079745,5061450040,SI32,1
282,MCDONALD'S,less wealthy,11385,Hamburgers,4/3/19,08A,N,1,4/3/19,40.7017391,-73.88083222,405,30,62900,4090455,4037080033,QN19,1
283,JACKSON HOLE,wealthier,10016,American,11/13/19,10F,N,1,11/13/19,40.74622292,-73.97773987,106,2,7800,1020174,1009150062,MN20,1
284,NAPOLI PIZZA,less wealthy,11365,Pizza,10/10/19,06D,Y,1,10/10/19,40.73307344,-73.8047535,408,24,122701,4149770,4069310001,QN38,1
285,VESUVIO RESTAURANT & PIZZA,less wealthy,11209,Pizza/Italian,2/13/19,04L,Y,1,2/13/19,40.63271448,-74.02726606,310,43,6600,3147848,3059180009,BK31,1
286,JOHNS CAFE & RESTAURANT,wealthier,10017,American,3/14/19,06C,Y,1,3/14/19,40.75102757,-73.97133909,106,4,8800,1037564,1013170028,MN19,1
287,CAFE LUXEMBOURG,wealthier,10023,French,8/12/19,06D,Y,1,8/12/19,40.77746465,-73.98301541,107,6,15500,1030348,1011580033,MN14,1
288,"DUNKIN', BASKIN ROBBINS",less wealthy,11367,Donuts,1/6/20,10F,N,1,1/6/20,40.73939635,-73.81574116,407,20,83700,4141524,4064410030,QN62,1
289,BROADWAY RESTAURANT,wealthier,10025,American,10/1/19,09C,N,1,10/1/19,40.79803372,-73.96929978,107,7,18700,1056505,1018730020,MN12,1
290,NARITA JAPANESE RESTAURANT,less wealthy,11375,Japanese,12/9/19,06D,Y,0,12/9/19,40.72098186,-73.84561273,406,29,71100,4077496,4032390032,QN17,0
291,CUCHIFRITO,wealthier,10029,Mexican,1/25/19,10F,N,1,1/25/19,40.79828609,-73.94086392,111,8,18200,1052256,1016430044,MN34,1
292,IL CANTINORI RESTAURAUNT,wealthier,10003,Italian,11/26/19,10F,N,1,11/26/19,40.73240224,-73.99307222,102,2,5900,1009097,1005610011,MN23,1
293,ANDREWS COFFEE SHOP,wealthier,10018,American,2/25/19,10F,N,1,2/25/19,40.75174161,-73.99005646,105,3,10900,1015222,1008110001,MN17,1
294,THE CLUBHOUSE,less wealthy,11379,American,7/22/19,06D,Y,1,7/22/19,40.71438705,-73.90108223,405,30,60300,4061825,4027630055,QN21,1
295,FAME DINER,less wealthy,11378,American,3/25/19,06D,Y,1,3/25/19,40.72710219,-73.89341447,405,30,49302,4058560,4025010029,QN30,1
296,KNIGHTS OF BARON DEKALB,less wealthy,11235,American,5/9/19,04L,Y,1,5/9/19,40.58389071,-73.93855598,315,48,62200,3248030,3088150035,BK17,1
297,WEST CORK-UNION HALL,wealthier,10310,American,9/17/19,06D,Y,1,9/17/19,40.63810304,-74.10925325,501,49,10500,5003624,5001390001,SI35,1
298,TERRA BLUES,wealthier,10012,American,6/12/19,10F,N,1,6/12/19,40.72826883,-73.99935778,102,1,6500,1008649,1005370036,MN23,1
299,FLAMINGO,less wealthy,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/7/19,04N,Y,0,11/7/19,40.74793365,-73.88091529,404,21,26901,4037051,4015020003,QN29,0
300,MONTE'S,wealthier,10012,Italian,7/24/19,04L,Y,1,7/24/19,40.72944359,-74.00096335,102,1,6500,1008734,1005420052,MN23,1
301,LONDON LENNIES,less wealthy,11374,Seafood,10/24/19,08A,N,1,10/24/19,40.72219743,-73.86724509999999,405,30,67900,4070117,4030140026,QN21,1
302,DUNKIN',less wealthy,10475,Donuts,7/31/19,08A,N,1,7/31/19,40.8857797,-73.82837527,212,12,46202,2095194,2052800001,BX13,1
303,COOPER TOWN DINER,wealthier,10003,American,11/20/19,06D,Y,1,11/20/19,40.73475296,-73.97994841,106,2,6400,1020526,1009250039,MN21,1
304,DELMONICO'S KITCHEN,wealthier,10018,American,9/16/19,10F,N,1,9/16/19,40.75251016,-73.9902332,105,3,10900,1014445,1007860051,MN17,1
305,MEZZALUNA,wealthier,10021,Italian,9/30/19,10F,N,1,9/30/19,40.77128305,-73.95946678,108,4,13400,1044020,1014290002,MN31,1
306,RESTUARANT NIPPON,wealthier,10022,Japanese,6/26/19,10F,N,1,6/26/19,40.75751058,-73.97088148,106,4,10000,1036468,1013070029,MN19,1
307,O'HARA'S,wealthier,10006,American,4/4/19,10B,N,1,4/4/19,40.70963664,-74.01271101,101,1,1300,1001038,1000520010,MN25,1
308,AQUEDUCT NORTH,less wealthy,10470,Irish,5/6/19,10F,N,1,5/6/19,40.897844799999994,-73.86725104,212,11,44902,2019107,2033760058,BX62,1
309,E.A.T. CAFE,wealthier,10028,American,10/30/19,10F,N,1,10/30/19,40.77737158,-73.96136588,108,4,14200,1046617,1014920017,MN40,1
310,REX MANOR,less wealthy,11219,Continental,4/10/19,06D,Y,1,4/10/19,40.63119159,-74.00306592,312,44,21400,3141233,3057170008,BK88,1
311,CLUB 101,wealthier,10178,American,8/7/19,09A,N,1,8/7/19,40.75098522,-73.97848538,105,4,8000,1036144,1012950001,MN20,1
312,RIVERDALE DINER,less wealthy,10463,American,5/14/19,03B,Y,1,5/14/19,40.88500629999999,-73.90127222,208,11,28500,2083856,2057660757,BX29,1
313,CARLOS PIZZA,less wealthy,11379,Pizza,2/27/19,10F,N,1,2/27/19,40.71282521,-73.87819353,405,30,61900,4091340,4037700024,QN21,1
314,THE BITTER END,wealthier,10012,American,3/27/19,08A,N,1,3/27/19,40.72821942,-73.99925675,102,1,6500,1008648,1005370035,MN23,1
315,ARRIBA ARRIBA,wealthier,10019,Mexican,12/6/19,02H,Y,1,12/6/19,40.76419718,-73.98841568,104,3,13300,1025191,1010420001,MN15,1
316,BARNEY GREENGRASS,wealthier,10024,Jewish/Kosher,10/30/19,04M,Y,1,10/30/19,40.78782461,-73.97489470000001,107,6,17300,1032218,1012170064,MN12,1
317,ANNAM BRAHAM RESTAURANT,less wealthy,11432,Indian,1/13/20,09C,N,1,1/13/20,40.71335811,-73.80177422,408,24,44800,4446002,4098540004,QN35,1
318,MONTERO BAR & GRILL,less wealthy,11201,American,2/28/19,10F,N,1,2/28/19,40.69124736,-73.99798786,302,33,700,3002254,3002580102,BK09,1
319,PISA PIZZERIA,less wealthy,11385,Pizza/Italian,7/19/19,04L,Y,1,7/19/19,40.7013129,-73.88825524,405,30,62900,4090148,4036980035,QN19,1
320,PETE'S CLAM STOP,less wealthy,11224,American,4/6/19,09B,N,1,4/6/19,40.57552867,-73.98185025,313,47,35200,3329350,3070740250,BK21,1
321,BURRITO LOCO,wealthier,10014,Tex-Mex,10/21/19,10B,N,1,10/21/19,40.73201268,-74.00140359,102,3,6700,1010146,1005900031,MN23,1
322,FIT CAFETERIA (BUILDING A ) (8th ave),wealthier,10001,American,9/23/19,06C,Y,1,9/23/19,40.74711976,-73.99499068,105,3,9500,1014251,1007770018,MN17,1
323,SMILING PIZZA,less wealthy,11215,Pizza,10/28/19,02B,Y,1,10/28/19,40.66706165,-73.98141432,306,39,15300,3025919,3010900074,BK37,1
324,SYMPOSIUM GREEK RESTAURANT,wealthier,10025,Greek,7/10/19,08A,N,1,7/10/19,40.80548964,-73.96394666,109,7,19900,1057007,1018840052,MN09,1
325,VILLAGE YOKOCHO,wealthier,10003,Japanese,8/6/19,10E,N,0,8/6/19,40.72985756,-73.98943193,103,2,3800,1006737,1004640006,MN22,0
326,CLARK'S RESTAURANT,less wealthy,11201,American,4/17/19,10B,N,1,4/17/19,40.69751075,-73.99325978,302,33,501,3001864,3002360112,BK09,1
